row,col,map_x,map_y,similarity,R_mean,R_std,G_mean,G_std,B_mean,B_std,GLCM_contrast,GLCM_homogeneity,GLCM_energy,GLCM_correlation,edge_density,DSM_mean,DSM_std,DSM_roughness,pct_ceramic,pct_fiber,pct_paved_road,pct_exposed_soil,pct_vegetation,informality_idx,formality_idx
100,1600,187598.7638,8951391.8997,0.574796,144.890182,41.316074,135.949326,39.885197,123.452652,38.948242,27.161495,0.349855,0.050950,0.861908,0.250075,22.238506,13.262339,5.888248,0.224200,0.085525,0.074850,0.187225,0.376625,0.496950,0.451475
100,1700,187648.7638,8951391.8997,0.673344,145.067307,42.807556,134.304718,40.426735,121.111725,38.955170,28.893394,0.320982,0.051283,0.858673,0.270250,24.550501,13.623275,6.454718,0.298250,0.075975,0.037900,0.154375,0.362525,0.528600,0.400425
100,1800,187698.7638,8951391.8997,0.659541,148.921326,42.708504,136.683594,41.672478,124.218376,39.467323,34.075733,0.319592,0.050751,0.839783,0.271825,27.476681,14.165747,7.500961,0.323725,0.095975,0.038525,0.167325,0.310500,0.587025,0.349025
200,0,186798.7638,8951341.8997,0.634059,118.326103,35.411205,120.635048,31.851576,106.152573,34.225204,18.965160,0.307115,0.054874,0.859234,0.306100,-105.250984,1105.276245,29.278769,0.053250,0.125175,0.055175,0.026650,0.725150,0.205075,0.780325
200,100,186848.7638,8951341.8997,0.761350,113.975449,36.898468,119.438622,33.117405,101.611626,34.212433,22.083792,0.282478,0.050303,0.846139,0.324675,16.924229,10.322171,3.937952,0.044525,0.099275,0.046075,0.023525,0.775775,0.167325,0.821850
200,200,186898.7638,8951341.8997,0.720618,112.360497,35.388481,116.515228,30.090979,94.595978,26.528263,21.829498,0.278393,0.053200,0.814281,0.339300,16.901102,10.117544,3.901181,0.051075,0.017850,0.003175,0.089975,0.831525,0.158900,0.834700
200,300,186948.7638,8951341.8997,0.664088,123.240822,35.049320,121.990997,29.129549,98.224052,26.784510,19.361004,0.280835,0.055092,0.829749,0.341325,17.261560,10.392318,4.089178,0.068875,0.004000,0.000600,0.154625,0.765975,0.227500,0.766575
200,400,186998.7638,8951341.8997,0.657979,124.336601,34.705975,122.275703,29.999029,99.642174,29.068893,17.860689,0.286806,0.054608,0.850555,0.333775,17.912817,10.315765,4.495502,0.065300,0.011575,0.001975,0.137200,0.768200,0.214075,0.770175
200,500,187048.7638,8951341.8997,0.492569,127.566353,32.866726,123.666779,29.213856,106.367722,29.821447,13.734992,0.335263,0.061634,0.878798,0.282125,18.286613,10.455175,4.732742,0.060400,0.035650,0.006425,0.123500,0.738425,0.219550,0.744850
200,600,187098.7638,8951341.8997,0.167354,131.659149,24.020124,123.307404,22.612961,108.343224,22.783758,7.591075,0.435366,0.109150,0.884367,0.142075,18.066029,10.561265,4.787574,0.091800,0.027300,0.005250,0.116900,0.731450,0.236000,0.736700
